name,link,filename,format
"VQA Annotations Balanced Real Images Training annotations 2017 v2.0* 
Balanced Real Images",https://s3.amazonaws.com/cvmlp/vqa/mscoco/vqa/v2_Annotations_Train_mscoco.zip,v2_Annotations_Train_mscoco.zip,.zip
VQA Annotations Balanced Real Images Validation annotations 2017 v2.0*,https://s3.amazonaws.com/cvmlp/vqa/mscoco/vqa/v2_Annotations_Val_mscoco.zip,v2_Annotations_Val_mscoco.zip,.zip
VQA Annotations Balanced Binary Abstract Scenes Training annotations ,https://s3.amazonaws.com/cvmlp/vqa/abstract_v002/vqa/Annotations_Binary_Train2017_abstract_v002.zip,Annotations_Binary_Train2017_abstract_v002.zip,.zip
VQA Annotations Balanced Binary Abstract Scenes Validation annotations ,https://s3.amazonaws.com/cvmlp/vqa/abstract_v002/vqa/Annotations_Binary_Val2017_abstract_v002.zip,Annotations_Binary_Val2017_abstract_v002.zip,.zip
VQA Annotations Abstract Scenes Training annotations 2015 v1.0,https://s3.amazonaws.com/cvmlp/vqa/abstract_v002/vqa/Annotations_Train_abstract_v002.zip,Annotations_Train_abstract_v002.zip,.zip
VQA Annotations Abstract Scenes Validation annotations 2015 v1.0,https://s3.amazonaws.com/cvmlp/vqa/abstract_v002/vqa/Annotations_Val_abstract_v002.zip,Annotations_Val_abstract_v002.zip,.zip
VQA Input Questions Balanced Real Images Training questions 2017 v2.0*,https://s3.amazonaws.com/cvmlp/vqa/mscoco/vqa/v2_Questions_Train_mscoco.zip,v2_Questions_Train_mscoco.zip,.zip
VQA Input Questions Balanced Real Images Validation questions 2017 v2.0*,https://s3.amazonaws.com/cvmlp/vqa/mscoco/vqa/v2_Questions_Val_mscoco.zip,v2_Questions_Val_mscoco.zip,.zip
VQA Input Questions Balanced Real Images Testing questions 2017 v2.0,https://s3.amazonaws.com/cvmlp/vqa/mscoco/vqa/v2_Questions_Test_mscoco.zip,v2_Questions_Test_mscoco.zip,.zip
VQA Input Questions Balanced Binary Abstract Scene Training questions,https://s3.amazonaws.com/cvmlp/vqa/abstract_v002/vqa/Questions_Binary_Train2017_abstract_v002.zip,Questions_Binary_Train2017_abstract_v002.zip,.zip
VQA Input Questions Balanced Binary Abstract Scene Validation questions,https://s3.amazonaws.com/cvmlp/vqa/abstract_v002/vqa/Questions_Binary_Val2017_abstract_v002.zip,Questions_Binary_Val2017_abstract_v002.zip,.zip
VQA Input Questions Abstract Scenes Training questions 2015 v1.0,https://s3.amazonaws.com/cvmlp/vqa/abstract_v002/vqa/Questions_Train_abstract_v002.zip,Questions_Train_abstract_v002.zip,.zip
VQA Input Questions Abstract Scenes Validation questions 2015 v1.0,https://s3.amazonaws.com/cvmlp/vqa/abstract_v002/vqa/Questions_Val_abstract_v002.zip,Questions_Val_abstract_v002.zip,.zip
VQA Input Questions Abstract Scenes Testing questions 2015 v1.0,https://s3.amazonaws.com/cvmlp/vqa/abstract_v002/vqa/Questions_Test_abstract_v002.zip,Questions_Test_abstract_v002.zip,.zip
"VQA Input Images Balanced Real Images COCO
Training images ",http://images.cocodataset.org/zips/train2014.zip,train2014.zip,.zip
"VQA Input Images Balanced Real Images COCO
Validation images ",http://images.cocodataset.org/zips/val2014.zip,val2014.zip,.zip
"VQA Input Images Balanced Real Images COCO
Testing images ",http://images.cocodataset.org/zips/test2015.zip,test2015.zip,.zip
VQA Input Images Balanced Binary Abstract Scenes Training images,https://s3.amazonaws.com/cvmlp/vqa/abstract_v002/scene_img/scene_img_abstract_v002_binary_train2017.zip,scene_img_abstract_v002_binary_train2017.zip,.zip
VQA Input Images Balanced Binary Abstract Scenes Validation images,https://s3.amazonaws.com/cvmlp/vqa/abstract_v002/scene_img/scene_img_abstract_v002_binary_val2017.zip,scene_img/scene_img_abstract_v002_binary_val2017.zip,.zip
VQA Input Images Abstract Scenes Training images,https://s3.amazonaws.com/cvmlp/vqa/abstract_v002/scene_img/scene_img_abstract_v002_train2015.zip,scene_img/scene_img_abstract_v002_train2015.zip,.zip
VQA Input Images Abstract Scenes Validation images,https://s3.amazonaws.com/cvmlp/vqa/abstract_v002/scene_img/scene_img_abstract_v002_val2015.zip,scene_img/scene_img_abstract_v002_val2015.zip,.zip
VQA Input Images Abstract Scenes Testing images,https://s3.amazonaws.com/cvmlp/vqa/abstract_v002/scene_img/scene_img_abstract_v002_test2015.zip,scene_img_abstract_v002_test2015.zip,.zip
Complementary Pairs List Balanced Real Images Training complementary pairs,https://s3.amazonaws.com/cvmlp/vqa/mscoco/vqa/v2_Complementary_Pairs_Train_mscoco.zip,v2_Complementary_Pairs_Train_mscoco.zip,.zip
Complementary Pairs List Balanced Real Images Validation complementary pairs ,https://s3.amazonaws.com/cvmlp/vqa/mscoco/vqa/v2_Complementary_Pairs_Val_mscoco.zip,v2_Complementary_Pairs_Val_mscoco.zip,.zip
,,,
,,,
,,,
,,,